Position,Height,Weight,Age,Preferred Foot,Avg Ball,Avg Pass,Finishing,Speed,Kicking Power,Stamina,Avg Def,Weak Foot,Overall
CF,195,95,40,Right,75.0,68.5,78,60,80,61,48.333333333333336,Very,81
GK,188,78,35,Left,50.5,58.5,40,60,72,58,49.666666666666664,Slightly,81
GK,183,79,33,Right,52.5,59.0,40,52,69,58,58.333333333333336,Medium,81
CB,191,92,33,Right,69.0,79.5,56,61,68,69,74.66666666666667,Medium,81
CMF,182,73,32,Right,78.0,82.5,71,60,75,72,67.0,High,81
GK,192,86,31,Right,53.0,58.5,40,53,71,58,58.666666666666664,Medium,81
CB,183,79,37,Right,63.5,71.5,51,63,71,69,78.0,High,81
GK,193,82,31,Right,49.0,59.0,40,54,66,58,48.333333333333336,High,81
GK,196,90,31,Right,54.5,60.5,46,58,70,60,54.0,Medium,81
CF,179,79,30,Right,77.0,70.0,78,75,76,69,48.333333333333336,High,81
CMF,191,84,28,Right,78.5,80.0,67,72,82,73,62.333333333333336,High,81
LWF,170,69,27,Right,74.0,67.0,70,83,70,71,48.0,Medium,81
CMF,180,80,31,Right,76.5,80.0,72,64,71,78,64.0,High,81
CMF,165,60,29,Right,82.0,83.5,57,63,61,70,72.66666666666667,High,81
CB,191,86,27,Left,62.5,70.0,50,68,65,69,74.66666666666667,Medium,81
CB,185,80,26,Right,59.5,63.0,52,68,73,75,80.0,Medium,81
DMF,180,67,30,Right,76.0,83.0,60,60,73,80,77.33333333333333,High,81
CMF,180,70,27,Right,77.5,76.0,69,74,77,78,65.66666666666667,High,81
LB,178,63,27,Left,71.0,74.5,50,78,70,86,73.33333333333333,Medium,81
CMF,172,68,24,Right,73.0,75.5,64,74,71,82,76.33333333333333,Medium,81
CB,190,85,28,Right,58.5,64.5,49,74,67,70,77.0,Medium,81
CF,174,79,24,Right,73.0,66.0,76,75,73,74,62.0,High,81
CB,178,70,23,Right,66.0,69.0,56,72,68,75,77.33333333333333,Medium,81
CF,190,75,21,Left,67.5,60.5,79,76,74,72,56.666666666666664,Slightly,81
LWF,171,70,21,Left,83.0,69.5,71,74,74,68,50.333333333333336,Medium,81
CB,195,99,26,Right,61.5,67.0,54,71,75,65,77.33333333333333,Medium,81
LWF,176,73,21,Right,80.0,64.5,70,82,69,74,53.0,Medium,81
AMF,178,70,22,Right,77.0,75.0,70,72,75,82,58.666666666666664,Very,81
CB,194,85,34,Right,66.0,73.0,56,63,69,66,76.33333333333333,Medium,80
CB,187,85,37,Left,59.5,63.0,52,66,67,68,79.0,Medium,80
CB,190,82,34,Right,65.5,73.5,60,62,70,72,76.66666666666667,High,80
GK,190,84,33,Left,48.5,55.0,40,58,70,53,48.666666666666664,Medium,80
CF,184,71,34,Right,66.0,62.5,77,68,77,79,68.0,High,80
CMF,175,69,31,Right,76.0,73.0,67,74,68,82,67.66666666666667,Medium,80
LWF,173,76,30,Right,81.5,68.5,69,74,70,66,49.333333333333336,Very,80
RWF,180,75,33,Left,77.5,79.0,70,74,74,71,54.666666666666664,Medium,80
CMF,182,67,31,Right,71.5,78.0,60,66,75,83,77.0,Medium,80
LB,170,68,32,Left,74.0,73.5,63,82,72,77,69.33333333333333,Medium,80
CMF,174,70,30,Right,80.5,81.5,65,60,68,71,68.33333333333333,High,80
CF,170,68,31,Right,77.5,65.0,77,70,71,68,53.333333333333336,High,80
LWF,181,76,33,Left,76.0,76.0,76,70,72,73,59.666666666666664,High,80
AMF,167,68,33,Right,78.0,75.5,69,74,75,67,56.333333333333336,High,80
SS,190,79,33,Left,79.0,74.5,72,65,76,68,48.0,Very,80
CMF,181,77,27,Right,82.0,77.0,56,73,65,75,68.33333333333333,High,80
CB,187,79,30,Right,62.0,65.5,50,65,68,70,77.66666666666667,Medium,80
CF,176,67,34,Left,76.5,67.0,77,70,72,63,63.0,Slightly,80
CF,176,78,27,Right,76.5,72.5,75,74,76,71,53.666666666666664,High,80
AMF,180,75,27,Right,76.0,74.5,69,74,74,75,62.0,Very,80
DMF,181,68,29,Right,74.0,77.5,66,69,74,81,71.66666666666667,High,80
CF,180,77,29,Left,75.0,68.5,78,67,73,73,54.0,High,80
RB,173,73,29,Right,72.0,74.0,50,75,69,79,74.66666666666667,Slightly,80
LB,170,71,28,Left,78.5,80.5,72,67,76,78,66.0,Medium,80
CF,189,88,30,Right,69.5,64.0,74,75,73,70,58.333333333333336,High,80
LWF,179,75,25,Right,77.5,66.5,67,84,70,70,52.666666666666664,High,80
CB,191,86,27,Right,68.5,74.0,62,68,67,75,74.0,High,80
GK,197,86,29,Left,52.5,56.5,40,53,73,53,56.666666666666664,High,80
GK,195,90,29,Right,48.0,55.0,40,56,69,53,47.666666666666664,Medium,80
AMF,178,76,27,Right,75.0,77.5,74,71,78,72,56.0,Medium,80
LWF,175,68,26,Right,80.0,74.0,67,72,74,77,54.0,High,80
LB,183,76,27,Left,68.5,71.5,69,77,71,79,72.66666666666667,Medium,80
CMF,178,76,27,Right,75.5,73.5,67,74,79,79,66.0,High,80
LB,184,79,25,Left,68.5,69.5,58,72,71,73,80.66666666666667,Slightly,80
GK,190,82,25,Right,49.5,57.5,40,56,68,56,54.333333333333336,Medium,80
CF,181,76,30,Right,78.0,74.5,68,74,73,81,63.0,High,80
GK,190,89,24,Right,50.0,60.0,40,57,71,53,52.333333333333336,Slightly,80
CMF,183,88,25,Right,71.5,72.5,64,72,75,80,76.66666666666667,Medium,80
AMF,186,77,25,Right,73.5,77.0,68,70,70,77,68.33333333333333,Very,80
CF,175,73,24,Right,76.0,63.5,72,76,71,76,54.0,High,80
CF,178,70,25,Right,76.5,63.5,73,73,74,73,54.0,Very,80
CMF,189,70,25,Left,75.5,78.5,68,67,74,73,65.33333333333333,Medium,80
DMF,185,80,22,Right,68.0,74.5,55,68,70,84,78.66666666666667,High,80
LMF,181,78,24,Left,76.5,75.5,72,69,72,76,62.0,High,80
LWF,178,67,24,Right,79.0,67.0,65,81,71,67,49.0,Very,80
LWF,179,71,24,Right,76.0,63.0,74,76,74,75,58.666666666666664,Very,80
CB,186,79,23,Right,64.0,66.5,55,72,64,77,75.66666666666667,Medium,80
CMF,182,78,23,Right,74.5,75.0,62,74,78,79,73.0,High,80
SS,188,82,22,Left,77.5,73.5,72,75,66,74,54.666666666666664,High,80
CB,192,81,24,Left,63.5,70.0,47,72,63,73,76.33333333333333,Medium,80
CB,186,90,23,Right,62.5,65.0,52,74,67,65,78.0,Medium,80
RB,172,64,36,Right,75.0,73.0,58,80,72,80,70.33333333333333,Slightly,79
GK,193,89,37,Right,48.0,56.5,40,50,75,60,49.0,Medium,79
GK,189,89,35,Right,46.5,59.5,40,59,70,53,49.666666666666664,Medium,79
AMF,173,67,35,Left,81.0,78.5,67,63,69,62,54.333333333333336,Medium,79
RB,178,78,32,Right,67.0,72.0,54,70,72,81,79.0,High,79
CMF,184,78,33,Right,75.0,80.0,70,61,76,74,65.0,High,79
CF,193,80,35,Right,71.0,67.5,75,61,74,65,54.666666666666664,High,79
CB,190,86,32,Right,62.5,70.5,56,61,71,70,75.66666666666667,Medium,79
CMF,176,65,30,Left,78.0,79.0,72,73,75,75,57.333333333333336,Medium,79
CF,187,80,32,Right,70.5,61.0,74,83,68,69,48.333333333333336,High,79
CB,190,94,33,Right,65.5,71.0,51,67,74,64,76.33333333333333,High,79
RB,179,71,33,Right,75.0,73.0,60,77,73,74,69.33333333333333,High,79
RB,183,83,31,Right,69.0,70.0,56,84,77,82,72.33333333333333,Medium,79
CB,195,90,30,Right,60.5,66.0,49,65,68,66,76.66666666666667,Medium,79
CF,189,85,29,Right,70.5,64.5,72,76,72,73,59.333333333333336,High,79
GK,192,82,32,Right,47.5,53.5,40,52,71,53,54.666666666666664,High,79
CB,192,88,33,Left,62.0,69.0,55,61,72,69,74.33333333333333,High,79
RWF,182,72,30,Left,75.5,73.0,77,71,72,72,55.666666666666664,Medium,79
LWF,187,84,27,Right,74.0,67.0,69,74,75,79,69.66666666666667,High,79
CF,181,75,28,Right,68.5,60.5,77,67,73,68,48.333333333333336,High,79
LMF,184,82,29,Left,71.5,73.5,62,78,82,82,69.33333333333333,Medium,79
GK,192,78,30,Left,47.5,53.0,41,58,68,53,47.0,Slightly,79
LMF,180,71,28,Right,79.0,71.5,69,77,75,72,57.666666666666664,Very,79
RWF,183,72,27,Left,75.5,75.0,73,74,73,71,51.0,High,79
CMF,176,72,24,Right,74.0,77.5,66,71,78,75,67.66666666666667,Very,79
AMF,173,72,28,Left,80.0,71.5,72,70,76,68,59.666666666666664,High,79
GK,191,93,27,Right,49.0,55.0,40,55,71,59,50.666666666666664,Medium,79
CF,179,74,34,Right,68.0,59.5,78,77,77,68,55.0,High,79
CF,181,84,28,Right,68.5,63.0,75,72,74,76,66.66666666666667,High,79
CF,186,73,25,Left,73.5,65.0,73,70,77,64,54.666666666666664,High,79
CF,197,84,29,Right,67.0,63.5,76,62,75,70,63.0,High,79
CB,187,77,26,Left,64.0,68.0,48,70,63,71,76.0,Medium,79
CB,185,79,28,Right,58.5,62.5,53,63,65,75,76.0,High,79
AMF,178,69,23,Left,81.0,75.5,65,67,71,70,60.0,Medium,79
GK,190,82,24,Left,49.5,56.0,40,57,66,55,49.0,Medium,79
RB,186,81,25,Right,68.0,71.5,60,75,72,76,72.66666666666667,Medium,79
AMF,181,79,28,Left,74.0,74.5,70,68,82,74,63.333333333333336,High,79
DMF,185,75,23,Right,72.0,76.5,64,69,73,75,72.33333333333333,Medium,79
LB,184,81,24,Left,68.5,65.0,67,84,75,79,65.66666666666667,Slightly,79
LB,178,70,24,Left,68.0,72.5,55,79,69,79,71.33333333333333,Medium,79
RWF,175,70,26,Right,75.5,66.0,73,79,68,71,53.333333333333336,High,79
DMF,191,81,25,Right,70.0,73.5,60,77,74,75,71.0,High,79
RB,181,73,23,Right,70.5,70.5,66,84,70,79,66.0,High,79
AMF,175,73,25,Right,76.0,79.0,64,67,76,74,54.0,High,79
CF,189,73,24,Left,67.5,57.0,74,75,72,74,59.0,High,79
CB,190,75,22,Left,67.0,71.5,55,69,65,71,74.33333333333333,Medium,79
CF,187,71,24,Right,68.5,61.0,73,77,71,72,56.0,High,79
DMF,183,74,25,Right,67.0,69.0,57,68,74,82,79.66666666666667,High,79
CF,180,75,25,Right,71.5,60.0,70,83,77,75,54.0,High,79
RWF,184,77,21,Right,75.0,68.5,69,77,70,72,52.666666666666664,High,79
LWF,180,76,21,Right,80.5,72.5,67,74,64,68,47.0,Medium,79
CF,186,75,23,Right,70.5,61.0,73,81,70,74,60.333333333333336,Medium,79
LB,185,77,21,Left,72.5,65.5,60,84,70,77,65.0,High,79
CMF,171,68,37,Right,84.0,82.5,65,60,65,63,53.666666666666664,Medium,78
CB,190,82,36,Right,61.5,67.0,54,61,68,71,75.66666666666667,Medium,78
CB,188,81,38,Right,60.0,61.5,54,62,62,62,81.0,Medium,78
RWF,180,85,35,Left,72.5,69.0,75,74,84,72,56.333333333333336,Medium,78
GK,190,83,36,Right,48.0,53.5,42,55,67,53,47.0,Slightly,78
RWF,185,82,32,Left,71.5,71.5,72,77,81,64,48.666666666666664,High,78
GK,183,80,33,Right,55.0,60.5,40,54,71,55,48.0,Medium,78
CF,168,62,33,Right,76.5,73.5,70,73,77,74,54.333333333333336,Medium,78
GK,189,87,32,Right,46.5,53.5,40,56,67,53,46.666666666666664,Medium,78
DMF,186,81,32,Right,73.0,78.5,60,59,77,75,71.66666666666667,High,78
LMF,186,80,32,Left,71.0,71.5,69,76,75,75,63.0,Very,78
CB,186,91,32,Right,63.5,72.0,48,63,72,69,75.33333333333333,Medium,78
AMF,177,75,32,Right,75.0,71.0,72,69,74,72,60.0,High,78
CF,169,61,34,Right,77.0,72.0,74,74,73,69,47.666666666666664,High,78
CB,189,83,30,Right,57.0,62.5,53,72,62,70,74.33333333333333,Medium,78
CF,176,77,30,Right,75.5,64.5,73,69,78,63,53.666666666666664,High,78
AMF,182,76,29,Right,75.5,78.5,68,64,75,71,55.666666666666664,High,78
GK,184,81,31,Left,50.5,57.5,42,58,67,58,52.333333333333336,Medium,78
DMF,171,71,32,Right,72.5,76.0,62,59,74,78,74.0,High,78
LB,172,65,29,Left,70.0,72.5,63,76,72,77,71.0,High,78
AMF,176,79,29,Right,82.0,75.0,66,63,68,63,52.333333333333336,High,78
CMF,174,66,32,Right,69.5,69.5,57,67,72,83,78.66666666666667,Medium,78
AMF,172,68,29,Right,79.0,73.0,67,69,75,67,52.0,High,78
GK,190,84,32,Right,47.5,54.5,40,60,65,53,50.0,Slightly,78
LB,181,81,30,Left,71.0,72.5,56,76,72,77,67.66666666666667,High,78
RB,184,78,30,Right,70.5,71.5,62,73,75,76,68.0,High,78
CB,190,96,27,Right,54.5,59.0,48,70,70,68,71.33333333333333,High,78
RB,175,70,28,Right,72.5,69.5,58,79,65,77,71.33333333333333,High,78
DMF,185,76,30,Right,66.5,72.0,59,65,70,79,75.66666666666667,Medium,78
AMF,181,65,28,Left,73.5,78.0,67,72,75,73,51.333333333333336,Medium,78
GK,185,77,27,Left,47.0,56.0,40,55,75,53,52.333333333333336,High,78
DMF,178,74,28,Right,68.5,68.0,55,72,64,79,78.66666666666667,Medium,78
CB,188,70,27,Right,70.0,72.5,51,69,63,74,74.66666666666667,High,78
CMF,177,67,28,Right,72.0,75.5,67,69,74,76,67.66666666666667,High,78
LWF,180,66,29,Right,77.0,63.0,67,80,69,70,46.0,High,78
GK,189,84,29,Right,48.5,54.0,40,50,67,55,49.0,Slightly,78
SS,188,77,27,Right,77.5,67.0,68,75,74,71,49.0,Medium,78
RMF,171,68,26,Right,76.5,71.0,69,74,70,74,63.333333333333336,Very,78
RWF,172,66,28,Right,76.0,63.5,67,82,67,69,53.0,Medium,78
GK,191,91,26,Right,53.0,59.5,40,55,70,59,51.333333333333336,High,78
LWF,185,78,28,Right,71.5,61.5,73,79,73,74,62.333333333333336,High,78
LB,172,62,26,Left,72.5,73.0,56,76,66,79,71.66666666666667,Slightly,78
AMF,172,70,27,Right,74.5,72.5,73,70,73,68,57.0,High,78
CF,179,83,29,Left,72.5,65.5,73,70,77,75,58.333333333333336,High,78
RWF,168,66,29,Right,71.0,66.0,70,80,75,75,62.333333333333336,Medium,78
LWF,174,69,28,Right,75.5,71.0,67,73,71,70,58.0,Very,78
RB,178,71,31,Right,71.5,75.0,54,73,67,79,71.0,High,78
RWF,171,67,28,Left,75.0,71.0,71,75,70,71,55.0,High,78
LB,186,75,28,Right,71.5,69.0,62,79,70,78,66.66666666666667,High,78
DMF,185,77,28,Right,74.0,75.0,58,72,84,75,74.66666666666667,High,78
CF,186,79,27,Right,71.0,66.5,70,83,70,75,57.666666666666664,Medium,78
LB,172,77,30,Left,75.0,72.0,59,72,77,79,72.0,Medium,78
LMF,182,76,25,Left,77.5,72.5,71,74,79,69,56.333333333333336,Slightly,78
CMF,189,83,25,Left,74.0,74.0,60,62,70,78,72.33333333333333,Medium,78
CMF,180,75,24,Right,73.0,79.5,65,61,78,75,69.33333333333333,Medium,78
CMF,187,72,24,Right,71.5,75.5,61,68,74,76,71.66666666666667,High,78
CMF,172,67,25,Right,76.0,78.5,62,67,74,72,64.33333333333333,High,78
GK,191,80,26,Right,47.5,56.5,40,50,71,53,50.0,Slightly,78
LB,178,73,26,Left,69.5,65.0,52,80,70,80,72.0,High,78
CB,187,91,26,Right,62.0,67.5,53,74,64,67,74.33333333333333,High,78
CB,194,100,28,Right,63.0,64.5,50,61,69,69,76.0,High,78
CF,184,84,26,Right,71.0,61.5,72,71,72,72,52.0,Very,78
CB,184,74,26,Left,63.5,71.0,55,75,64,73,75.0,Medium,78
LB,178,77,25,Left,72.0,72.5,57,77,72,81,69.0,Medium,78
LWF,187,72,24,Right,72.5,63.5,65,82,84,71,49.333333333333336,High,78
AMF,179,72,23,Right,77.0,73.5,68,70,71,72,58.333333333333336,Very,78
CB,185,79,23,Right,58.5,60.0,52,67,65,69,79.0,Medium,78
CMF,183,72,24,Right,76.0,75.5,66,71,72,76,63.666666666666664,High,78
CB,185,82,25,Right,59.5,67.5,48,70,67,74,77.66666666666667,High,78
CB,185,79,24,Right,59.5,64.5,54,72,62,69,75.0,High,78
CF,191,87,24,Right,69.0,60.0,71,76,75,71,54.666666666666664,Medium,78
LB,173,68,23,Left,74.5,72.0,56,75,71,78,67.66666666666667,Slightly,78
AMF,190,79,22,Left,75.0,69.0,68,74,74,74,65.0,High,78
CF,190,74,22,Right,73.5,57.5,73,75,74,71,52.0,High,78
GK,188,77,23,Right,47.5,59.0,40,53,71,53,48.666666666666664,Medium,78
CB,189,83,25,Right,66.5,61.5,54,81,60,74,66.0,Medium,78
CB,186,83,29,Right,58.0,67.0,58,60,67,66,73.66666666666667,Medium,78
RB,183,83,28,Right,66.5,68.0,61,75,67,78,74.0,Medium,78
CMF,180,72,24,Right,69.0,71.5,60,79,67,84,73.66666666666667,High,78
DMF,192,86,26,Right,67.0,71.0,65,65,69,84,70.0,Medium,78
SS,180,64,22,Right,77.0,70.0,71,70,70,71,50.666666666666664,High,78
RMF,178,65,20,Left,74.5,71.5,62,77,63,75,58.0,High,78
CB,192,80,22,Right,61.5,68.0,59,71,68,69,75.66666666666667,Medium,78
CMF,183,74,24,Right,74.0,79.5,67,65,70,73,63.333333333333336,High,78
CMF,174,60,19,Right,78.5,75.5,62,70,63,82,61.333333333333336,Very,78
LWF,178,66,19,Right,76.0,65.0,72,77,67,66,51.666666666666664,High,78
CMF,170,61,35,Right,73.0,77.0,66,62,70,75,65.66666666666667,High,77
DMF,179,67,36,Right,68.0,76.0,58,63,75,72,78.66666666666667,High,77
AMF,175,77,34,Right,77.0,77.5,69,65,74,66,47.333333333333336,Very,77
CMF,180,75,34,Right,69.0,71.0,64,66,77,75,77.66666666666667,High,77
RMF,180,70,34,Right,71.5,73.0,68,71,78,74,62.333333333333336,High,77
DMF,178,72,31,Right,76.5,80.5,62,64,76,69,69.66666666666667,High,77
CF,193,91,35,Left,68.0,69.5,71,58,77,68,58.0,Medium,77
GK,185,83,32,Right,51.0,61.5,40,60,75,61,49.333333333333336,Medium,77
CB,180,72,31,Left,69.0,73.5,60,62,70,76,75.0,Medium,77
DMF,182,79,30,Left,64.5,70.5,60,65,72,78,75.33333333333333,High,77
GK,188,85,29,Right,50.5,55.0,42,56,65,59,51.666666666666664,Medium,77
GK,191,88,34,Left,53.5,60.5,40,49,67,62,50.0,Slightly,77
CB,196,92,31,Right,66.0,63.0,57,60,70,69,73.33333333333333,High,77
DMF,186,80,29,Left,68.5,79.0,60,60,82,79,72.33333333333333,Medium,77
RMF,173,62,28,Right,76.0,70.5,59,73,61,76,61.0,Very,77
CB,180,76,31,Right,67.5,64.5,50,72,68,75,74.66666666666667,Medium,77
SS,184,73,29,Right,73.0,66.5,72,71,71,72,57.666666666666664,Medium,77
RMF,172,72,29,Right,78.0,63.5,68,79,74,72,53.666666666666664,High,77
DMF,188,76,28,Left,70.0,71.5,60,63,77,74,74.0,Slightly,77
GK,194,94,29,Left,46.5,54.0,40,53,70,53,47.0,Medium,77
DMF,187,84,31,Right,66.0,72.5,64,68,77,72,71.33333333333333,High,77
LB,178,74,28,Left,72.5,74.5,60,72,77,78,71.0,Medium,77
GK,189,82,29,Right,47.0,53.5,40,59,67,55,49.333333333333336,High,77
CF,190,86,27,Right,66.5,62.5,76,67,74,72,54.666666666666664,High,77
CB,182,77,30,Left,61.5,70.0,55,64,73,72,74.66666666666667,Medium,77
DMF,180,75,27,Right,70.5,77.5,60,64,77,73,72.66666666666667,High,77
DMF,175,74,30,Right,71.5,72.0,59,64,66,82,79.33333333333333,Medium,77
GK,189,88,35,Right,52.0,60.5,40,56,75,54,50.666666666666664,Medium,77
CMF,173,66,27,Right,70.5,79.0,63,61,75,83,63.0,Medium,77
DMF,184,82,27,Right,67.5,73.5,60,73,78,77,76.33333333333333,High,77
CF,175,71,28,Right,67.5,62.0,73,70,74,74,58.333333333333336,High,77
LWF,177,73,27,Right,76.0,70.0,67,76,68,69,46.666666666666664,Medium,77
CMF,188,71,26,Left,73.5,73.5,64,68,75,75,68.66666666666667,Medium,77
LB,185,75,26,Left,69.5,74.0,51,75,63,75,72.66666666666667,Medium,77
CB,185,75,31,Right,63.5,68.5,54,68,69,71,74.0,Medium,77
CB,185,75,26,Left,62.5,68.5,59,65,67,71,73.66666666666667,Medium,77
CF,181,76,26,Right,78.0,61.5,72,79,73,68,45.666666666666664,High,77
CF,190,76,30,Right,71.5,68.0,74,70,70,74,51.0,High,77
CB,184,78,29,Left,60.5,67.5,56,68,75,69,74.66666666666667,Medium,77
CF,186,78,27,Left,68.5,60.0,75,65,76,67,51.0,Medium,77
CB,185,72,31,Right,57.5,67.0,54,64,64,73,76.33333333333333,Slightly,77
CMF,185,85,26,Right,71.0,73.5,61,64,79,81,75.0,High,77
CB,180,75,26,Left,66.0,68.5,50,70,65,73,71.66666666666667,Medium,77
CMF,182,67,31,Left,78.5,76.5,65,65,71,69,61.333333333333336,High,77
GK,192,84,28,Right,48.5,54.0,40,52,70,53,50.666666666666664,Medium,77
CMF,181,81,27,Right,71.5,73.5,65,62,82,73,66.0,High,77
LWF,174,72,25,Right,78.0,61.5,67,77,68,69,50.333333333333336,High,77
GK,182,78,30,Right,50.0,57.0,40,57,66,53,51.0,Medium,77
CMF,184,77,27,Left,75.5,70.0,66,68,71,77,73.66666666666667,Medium,77
GK,189,89,34,Right,50.0,59.0,41,57,75,58,51.0,Medium,77
SS,180,76,33,Left,73.0,74.0,74,54,75,64,55.666666666666664,High,77
LMF,185,77,27,Left,72.5,70.5,65,76,72,75,60.0,Medium,77
CB,196,77,28,Left,59.0,65.5,48,72,64,75,73.66666666666667,Medium,77
LMF,171,62,26,Left,74.5,72.0,65,72,71,73,60.666666666666664,Slightly,77
LB,171,69,26,Left,74.5,71.0,58,78,72,81,62.333333333333336,Medium,77
CF,180,82,31,Right,66.0,62.5,70,81,69,73,59.0,High,77
RB,185,72,27,Right,67.0,69.5,60,76,67,76,70.33333333333333,Medium,77
CF,178,73,29,Right,66.0,59.0,78,74,75,67,52.333333333333336,High,77
AMF,179,78,30,Right,74.5,76.0,68,62,70,65,58.0,Very,77
DMF,185,80,26,Right,68.5,68.5,58,63,69,75,78.0,High,77
CB,187,82,25,Right,63.0,67.5,49,69,67,72,76.33333333333333,Medium,77
CF,180,79,27,Right,71.5,65.0,74,70,74,70,49.333333333333336,High,77
DMF,185,80,27,Right,71.0,68.5,58,62,75,73,78.33333333333333,High,77
CB,188,77,24,Right,62.0,68.0,49,76,67,70,72.33333333333333,Medium,77
CF,177,70,30,Right,74.5,66.5,73,65,76,69,57.0,Very,77
GK,196,81,29,Right,49.0,54.5,40,53,74,53,54.666666666666664,High,77
RWF,174,78,25,Right,71.0,67.5,67,81,75,75,59.666666666666664,High,77
CB,190,77,25,Right,61.5,67.0,60,67,60,70,73.66666666666667,Medium,77
